Reference Number,Title of referral,Notification from EPBC Act,Date of notice,PDF Attachments,Non PDF Attachments,Download,Download Folder,PDFs Combined
2021/8977,"Elizabeth Borrello/Commercial Development/Flynn drive, Neerabup/Western Australia/Subdivision of Lot 902 Flynn Drive Neerabup for Industrial Development",Invitation for Public Comment on Referral,22/06/2021,Yes,No,Success,20218977_22062021_eb_ifpcor,Yes
2013/7098,"JONES THEATRE UNIT TRUST/Residential Development/Busselton/Western Australia/Residential development Lot 3, 500 Bussell Highway, WA",Notification of Variation to Approval,21/06/2021,Yes,No,Success,20137098_21062021_jtut_novta,Yes
2013/7098,"JONES THEATRE UNIT TRUST/Residential Development/Busselton/Western Australia/Residential development Lot 3, 500 Bussell Highway, WA",Notification of Extension of Period of Effect of Approval,21/06/2021,Yes,No,Success,20137098_21062021_jtut_noeopoeoa,Yes
2021/8910,"Mt Fox Energy Park Pty Ltd/Energy Generation and Supply (renewable)/, Mount Fox/Queensland/Mt Fox Energy Park Wind Farm, QLD",Decision on Assessment Approach: Preliminary Documentation,18/06/2021,Yes,No,Success,20218910_18062021_mfeppl_doaapd,Yes
2021/8915,"Water Corporation/Water Management and Use/358 Vase-yallingup Siding Road, Marybrook/Western Australia/Lennox Weir Removal, 12kms west Busselton",Invitation for Public Comment on Referral,18/06/2021,Yes,No,Success,20218915_18062021_wc_ifpcor,Yes
2018/8280,"MANGOOLA COAL OPERATIONS PTY LIMITED/Mining/Multiple lots/New South Wales/Mangoola Coal Continued Operations Project, NSW",Notification of Variation to Proposal,18/06/2021,Yes,No,Success,20188280_18062021_mcopl_novtp,Yes
2021/8910,"Mt Fox Energy Park Pty Ltd/Energy Generation and Supply (renewable)/, Mount Fox/Queensland/Mt Fox Energy Park Wind Farm, QLD",Decision whether action needs approval/Approval Required,18/06/2021,Yes,No,Success,20218910_18062021_mfeppl_dwanaar,Yes
2021/8969,"Byron Shire Council/Waste Management (sewerage)/45 Wallum Place, Byron Bay/New South Wales/Byron Shire Bioenergy Facility",Suspension of Referral Decision Timeframe Period,18/06/2021,Yes,No,Success,20218969_18062021_bsc_sordtp,Yes
2021/8948,"The Trustee for Manyana Property Trust/Residential Development/approximately 0.5 km north of the township of Manyana/New South Wales/North Manyana Subdivision, NSW",Decision on Assessment Approach: Preliminary Documentation,18/06/2021,Yes,No,Success,20218948_18062021_ttfmpt_doaapd,Yes
2021/8948,"The Trustee for Manyana Property Trust/Residential Development/approximately 0.5 km north of the township of Manyana/New South Wales/North Manyana Subdivision, NSW",Decision whether action needs approval/Approval Required,18/06/2021,Yes,No,Success,20218948_18062021_ttfmpt_dwanaar,Yes
